corpus_id	doi	source_authority	source_url	revision_or_sha256	license_observation	redistribution_policy	implementation_use	audit_date
T42	10.1016/j.energy.2024.134050	official_homepage_archive	https://raw.githubusercontent.com/toyamaailab/toyamaailab.github.io/main/resource/RPSO_Wind_Code.zip	archive:sha256:44e89c033e90f5aaaa9b84c826c95f29d3b8ad73dd363ff68de99418cdfa93a2;CGPSO.m:sha256:8a9a1e8ac5589c9e185e3bfdc746c70e77ac939dd623c5e59d7f5045e26bee49;ppo.py:sha256:7a84ca4b6ccd8bd4451fa275e1dd4ca64f9a4483efac29bcc7e880ef8c95320b;main.m:sha256:7c5cd5d5526f1a63aeca35eb5b8b28bd8547d6901694f0b1b590a18237e24532	no_license_file_found	do_not_redistribute	behavior_and_formula_oracle_only_blocked_for_formal_policy	2026-07-29
T44	10.1016/j.energy.2025.137885	official_homepage_archive	https://raw.githubusercontent.com/toyamaailab/toyamaailab.github.io/main/resource/BDE-WindFarm_code.zip	archive:sha256:f4a317d4d727a9d452f76376373e2c8ad5546e35ff19530eda0ba328682dd140;BDE.m:sha256:0a0bf2845857ce91c2d1284233b2ab1963b081d7a2e46ca8314d7b2e32c2d58d	no_license_file_found	do_not_redistribute	behavior_and_formula_oracle_only	2026-07-29
Y06	10.1016/j.apenergy.2026.127895	author_github	https://github.com/zbh0528/WFLO-GGA	commit:6ce41326e6c1d3685a01e038baf6d1d07aa46126	academic_noncommercial_notice;no_standard_license_file	do_not_vendor	behavior_formula_and_problem_oracle_only	2026-07-29
S01	10.3390/math12233762	local_author_project_asset	not_publicly_redistributed	CEDE.m:sha256:059ed3e1b8e2ff112ae1b4206f571f5fe8b9998f118374a590ff1eabfe2d007b;CEDE_recoding.m:sha256:7ab43d85aca73c57682123f577213bffa548b7f81d0ef308b2f4056671f00062	no_license_file_found	do_not_redistribute	behavior_oracle_with_paper_first_canonical_profile	2026-07-29
S02	10.3390/electronics13163196	local_author_project_asset	not_publicly_redistributed	MS_SHADE.m:sha256:17ef6d13b65c166e013bd58cc047393b59cfe9927e67a8004e8800a04fb09727	no_license_file_found	do_not_redistribute	behavior_oracle_with_paper_first_canonical_profile	2026-07-29
S04	10.3390/math13182935	workspace_and_official_homepage_search	not_available	paper:sha256:0b388fb055956837876f5cfffd8320ab88c0bf4ef32d386c2143a0e7b498c9a0	no_source_or_pretrained_qtable_found	paper_only	policy_identity_cannot_be_reconstructed_without_author_asset	2026-07-29
T46	10.1016/j.swevo.2025.101972	local_author_project_archive	not_publicly_redistributed	tree_manifest_sha256:9802cea81a715008313326308d8e65b9de67d11f2c25f241d0f4e4b9fae03b94;code_asset_manifest_sha256:826e74c455782c27174e15caaf32db4ec316279d66afe4d796973970c7a3a17e	no_license_or_redistribution_notice_found	do_not_redistribute	behavior_formula_problem_and_result_oracle_only_partial_pcode	2026-07-29
Y35	10.26599/tst.2026.9010059	local_author_project_asset	not_publicly_redistributed	HGPSO.m:sha256:d027049953cabf7569aa2bfcad4da3432ddf09eb06ffbf18f062f574b1cacddf;main_HGPSO.m:sha256:b244777fc7738b67cfa4fd6b568c763538c717e555f9ae41097aa18bb1b8f886	no_license_file_found	do_not_redistribute	behavior_and_formula_oracle_only	2026-07-29
T41	10.1007/s42235-024-00498-3	workspace_and_official_homepage_search	not_available	paper:sha256:656e328266459a42563e7af9fa5872af5124fe65cb9b67a5f3c9e842ab5d2ebb	no_public_author_source_found	paper_only	explicit_reconstruction_only	2026-07-29
T47	10.1145/3766671.3766786	workspace_and_official_homepage_search	not_available	paper:sha256:a6b1ecb769612cf18466206073bcdeb14741b185d5b9296f6026bbce689717c7	no_public_author_source_found	paper_only	explicit_reconstruction_only	2026-07-29
Y34	10.1049/cit2.70150	workspace_and_official_homepage_search	not_available	paper:sha256:d3d9e4c13213154bba0242ed45278f4d39b581835d6c6b114a330d30a0d6a6f9	no_public_author_source_found	paper_only	explicit_reconstruction_only	2026-07-29
S05	10.2139/ssrn.6135326	workspace_and_official_homepage_search	not_available	preprint:sha256:14029c5e4db959d3702960dedb87a30e7e9119a56378a2b8f80dca8dfa6119a5	no_public_author_source_found	preprint_only	explicit_reconstruction_only	2026-07-29
L0608	10.1109/pic62406.2024.10892732	workspace_and_official_homepage_search	not_available	paper:sha256:c54147a5b5ceb4d1ff0bfc4fd2ec7d17d3bdf3b866a2ab01b5f02d8ddec85fd3	no_public_author_source_found	paper_only	explicit_reconstruction_only	2026-07-29
Y36	10.1109/jas.2026.126233	paper_homepage_crossref_and_github_bounded_search	not_available	paper:sha256:243dd96dfa94a3d596f375a6c62e58015c735171958778d816b6afdbf99cd35b	no_public_case_source_or_pretrained_model_found	paper_only	distinct_P3_structured_proxy_and_P4_formula_fixture_only_until_author_assets	2026-07-29
T45	10.1016/j.swevo.2025.102018	paper_homepage_crossref_and_github_bounded_search	not_available	paper:sha256:770b56c0dccbd7683e3c33652d7062c385eb2f00c126d2e9f2a3b7129fdc5872	no_public_case_source_or_learning_state_found;data_available_on_request	paper_only	formula_fixture_or_declared_proxy_only	2026-07-29
T43	10.1109/jas.2025.125351	paper_homepage_crossref_and_github_bounded_search	not_available	paper:sha256:92d3eb80a5f6ba3dcf904712f19bd1f81e4432a3d13235b27b74ceda3fece016	no_public_case_source_found	paper_only	declared_reconstruction_only	2026-07-29
T36	10.1109/cpeee69412.2026.11521465	paper_homepage_crossref_and_github_bounded_search	not_available	paper:sha256:ee24999861a2a42766bd62bca509bf3bc0334e6b654a61f72fd55ba829f20873;related_WFLO-GGA_commit:6ce41326e6c1d3685a01e038baf6d1d07aa46126	no_public_method_source_found;related_assets_not_proven_identical	paper_only	same_author_asset_reconstruction_under_distinct_semantic_id	2026-07-29
L0726	10.1109/cbd69312.2025.00059	paper_homepage_crossref_and_github_bounded_search	not_available	paper:sha256:8bdca5f23fc34687ab8069eb0ee8d6c1b3775567ba688fdc9248b91ce5f6fb7c	no_public_anholt_case_or_method_source_found	paper_only	declared_reconstruction_only	2026-07-29
T27	10.1145/3711896.3737181	paper_linked_author_git_and_official_floris	https://github.com/dbsxodud-11/layopt;https://github.com/NREL/floris.git	layopt:19ff38950ec6d23b6241875c1e5936878508a10d;floris:v4.1.1:2c3be8fd91fdb2ce519e2f3139444a7045f50473	author_source_no_license;floris_BSD-3-Clause	do_not_redistribute_author_source;official_floris_reference_permitted	semantic_oracle_and_independent_cpp_libtorch_reconstruction	2026-07-31
T84	10.1002/we.2692	paper_linked_author_git	https://github.com/byuflowlab/thomas2021-wec	8ff27d66079591f25619abeedbfc970d70e2b520	no_LICENSE_COPYING_or_README_found	do_not_redistribute_executable_source	formula_behavior_numeric_input_driver_and_result_oracle_plus_independently_encoded_fixture	2026-08-01
T84	10.1002/we.2692	paper_dependency_model_lineage	https://github.com/byuflowlab/PlantEnergy	356fafd95d0ff6396f531f8cc05e4526041df12c	Apache-2.0	reference_permitted	Bastankhah_Niayifar_local_TI_behavior_oracle	2026-08-01
